ds,yhat,yhat_lower,yhat_upper
2024-01-01,196.45879499999998,118.81642498327322,272.53507765568986
2024-02-01,196.45879499999998,117.7435203256518,276.257428613912
2024-03-01,196.45879499999998,121.12253656373272,270.449193311225
2024-04-01,196.45879499999998,120.00761608241662,268.13878004059114
2024-05-01,196.45879499999998,129.59658185835113,264.51382050106537
2024-06-01,196.45879499999998,119.86712752871976,267.55188291676427
2024-07-01,196.45879499999998,121.40177852084692,268.89384570028227
2024-08-01,196.45879499999998,122.3853456292682,271.3965697467246
2024-09-01,196.45879499999998,117.54005233588964,271.92331004345766
2024-10-01,196.45879499999998,124.64843065265445,269.14694230092
2024-11-01,196.45879499999998,121.61504403668852,274.735186673738
2024-12-01,196.45879499999998,111.41713790971824,266.34964086136506
2024-12-02,196.45879499999998,120.18516867303835,277.89435130824216
2024-12-03,196.45879499999998,123.74340690930245,273.914294622638
2024-12-04,196.45879499999998,124.47928854445415,267.6434436090885
2024-12-05,196.45879499999998,127.2277200549485,268.561397416557
2024-12-06,196.45879499999998,121.81149704077414,274.4985671133559
2024-12-07,196.45879499999998,123.8892215387324,271.7424158394013
2024-12-08,196.45879499999998,120.25333065087426,276.5676982499388
2024-12-09,196.45879499999998,123.99041936713374,274.0767635205944
2024-12-10,196.45879499999998,119.50477201530337,273.0173257126426
2024-12-11,196.45879499999998,123.02551075355895,270.6491429107856
2024-12-12,196.45879499999998,127.8776655592887,267.0000721527788
2024-12-13,196.45879499999998,122.83516501467709,271.42214973692523
2024-12-14,196.45879499999998,122.28965006520122,266.5645476190416
2024-12-15,196.45879499999998,121.65335142741904,268.69813129715084
2024-12-16,196.45879499999998,120.9974897960156,267.9729073619994
2024-12-17,196.45879499999998,117.4687869933997,270.639646036197
2024-12-18,196.45879499999998,118.9709134208645,274.3548365274122
2024-12-19,196.45879499999998,118.30243457493957,270.05007666128824
2024-12-20,196.45879499999998,118.56923002431252,268.76635234133886
2024-12-21,196.45879499999998,122.76202769491086,270.09342702522133
2024-12-22,196.45879499999998,122.06240905930771,270.6190002429826
2024-12-23,196.45879499999998,120.92768011593344,271.76689232670236
2024-12-24,196.45879499999998,122.47871505006584,270.3940191118914
2024-12-25,196.45879499999998,121.89887635024841,268.46320256192126
2024-12-26,196.45879499999998,118.22821174642897,275.63557653195704
2024-12-27,196.45879499999998,123.94962425937119,274.70615613376157
2024-12-28,196.45879499999998,127.63878202942045,269.71657817554075
2024-12-29,196.45879499999998,121.91603173239702,274.2976714196927
2024-12-30,196.45879499999998,122.3566366059178,271.8544108314803
2024-12-31,196.45879499999998,117.69066107742832,272.6998644717831
